,Player,Age,League,Club,Position,Value,Overall,Shooting,Passing,Dribbling,Defending,Physical
449,Joshua Brenet,28,Eredivisie,Twente Enschede FC,Defender,2700000.0,72.05,65.56,69.63,71.57,62.36,81.44
450,Alex Sola,23,La Liga,Real Sociedad,Defender,2700000.0,62.01,16.34,71.05,22.71,84.05,70.22
451,Theo Le Bris,19,Ligue 1,FC Lorient,midfield,2600000.0,62.75,69.17,49.2,64.93,44.85,67.69
452,Antonio Sanabria,26,Serie A,Torino FC,Attack,2500000.0,75.45,82.75,58.53,77.55,39.55,82.97
453,Dejan Ljubicic,24,Bundesliga,1.FC Köln,midfield,2500000.0,64.74,66.19,58.2,66.49,39.95,68.1
454,Marcus Pedersen,22,Eredivisie,Feyenoord Rotterdam,Defender,2500000.0,71.42,52.78,59.68,63.75,68.22,94.05
455,Chris Richards,22,Premier League,Crystal Palace,Defender,2500000.0,57.14,14.43,65.98,17.03,78.98,66.56
456,Junya Ito,29,Ligue 1,Stade Reims,Attack,2500000.0,85.66,85.07,77.57,90.64,46.27,89.38
457,Tom Bischof,17,Bundesliga,TSG 1899 Hoffenheim,midfield,2500000.0,29.16,22.79,28.01,27.0,34.68,26.95
458,Maxime Esteve,20,Ligue 1,Montpellier HSC,Defender,2500000.0,52.37,39.68,35.92,45.38,46.35,78.08
459,Pedro Malheiro,21,Primeira Liga,Boavista FC,Defender,2500000.0,72.37,56.01,58.11,66.35,81.01,84.01
460,Kenneth Schmidt,20,Bundesliga,SC Freiburg,Defender,2500000.0,60.64,7.21,80.65,10.28,93.65,57.97
461,Kristian Thorstvedt,23,Serie A,US Sassuolo,midfield,2500000.0,70.97,73.28,59.18,73.09,40.52,78.35
462,Jean-Victor Makengo,24,Ligue 1,FC Lorient,midfield,2500000.0,35.76,31.75,34.28,37.31,24.36,39.7
463,Mario Gila,21,Serie A,SS Lazio,Defender,2500000.0,38.43,5.41,40.78,6.08,53.78,53.06
464,Bamo Meite,21,Ligue 1,FC Lorient,Defender,2400000.0,48.7,42.38,26.92,33.33,30.6,88.51
465,Noah Weisshaupt,20,Bundesliga,SC Freiburg,Attack,2300000.0,42.51,38.4,42.15,45.55,23.49,43.93
466,Valentin Gendrey,22,Serie A,US Lecce,Defender,2300000.0,79.87,64.93,73.86,76.3,73.86,95.45
467,Enzo Tchato,19,Ligue 1,Montpellier HSC,Defender,2250000.0,51.79,46.38,42.12,44.66,43.04,73.07
468,Deiver Machado,28,Ligue 1,RC Lens,Defender,2200000.0,70.66,67.21,60.54,69.31,58.31,85.58
469,Sikou Niakate,23,Primeira Liga,SC Braga,Defender,2200000.0,60.9,57.7,41.77,52.99,44.79,88.12
470,Lasse Schone,36,Eredivisie,NEC Nijmegen,midfield,2200000.0,74.39,72.83,65.86,76.91,63.31,81.96
471,Ivan Martin,23,La Liga,Villarreal CF,midfield,2200000.0,56.54,61.37,47.59,57.35,34.51,59.84
472,Cristian Volpato,18,Serie A,US Sassuolo,midfield,2100000.0,21.98,26.88,25.46,20.02,9.09,15.57
473,Jean-Ricner Bellegarde,24,Ligue 1,RC Strasbourg Alsace,midfield,2000000.0,72.62,69.06,69.23,75.89,44.24,76.29
474,Alessandro Zanoli,21,Serie A,SSC Napoli,Defender,2000000.0,69.56,43.75,70.25,49.39,83.25,75.36
475,Moi Gomez,28,La Liga,CA Osasuna,Attack,2000000.0,78.44,80.93,68.62,80.61,49.49,83.58
476,Maximilian Eggestein,25,Bundesliga,SC Freiburg,midfield,2000000.0,69.96,70.96,56.99,72.4,50.6,79.47
477,Antonio Raillo,30,La Liga,RCD Mallorca,Defender,2000000.0,80.66,60.53,83.5,62.23,96.5,80.4
478,Felipe Anderson,29,Serie A,SS Lazio,Attack,2000000.0,90.23,96.29,72.83,94.78,59.83,97.03
479,Philipp Lienhart,26,Bundesliga,SC Freiburg,Defender,2000000.0,81.7,53.14,81.02,58.57,94.02,93.18
480,Vanderson,21,Ligue 1,AS Monaco,Defender,2000000.0,72.68,56.11,63.16,68.61,77.3,81.63
481,Alexander Sorloth,26,Bundesliga,RB Leipzig,Attack,2000000.0,34.14,0.0,95.92,33.46,1.73,5.43
482,Philip Billing,26,Premier League,AFC Bournemouth,midfield,2000000.0,82.2,89.56,63.65,84.08,47.95,91.53
483,Mees Hilgers,21,Eredivisie,Twente Enschede FC,Defender,2000000.0,67.99,54.48,46.94,56.77,68.61,92.09
484,Largie Ramazani,21,Ligue 1,UD Almería,Attack,2000000.0,76.34,77.31,63.4,80.84,42.92,83.81
485,Kristjan Asllani,20,Serie A,Inter Milan,midfield,2000000.0,48.52,42.91,50.37,51.0,35.62,49.8
486,Christian Eriksen,30,Premier League,Manchester United,midfield,2000000.0,66.31,63.18,62.44,69.17,39.22,70.44
487,Matteo Cancellieri,20,Serie A,SS Lazio,Attack,2000000.0,46.95,42.9,45.32,49.35,30.57,50.22
488,Danilo,31,Serie A,Juventus FC,Defender,2000000.0,89.2,68.98,92.21,76.82,92.21,95.58
489,Steffen Tigges,24,Bundesliga,1.FC Köln,Attack,2000000.0,68.6,75.26,54.13,70.3,37.82,74.73
490,Walace,27,Serie A,Udinese Calcio,midfield,2000000.0,82.67,81.38,63.5,84.95,68.88,95.48
491,Ilia Gruev,22,Bundesliga,SV Werder Bremen,midfield,2000000.0,67.68,67.68,53.46,71.14,53.41,78.44
492,Djed Spence,21,Premier League,Tottenham Hotspur,Defender,2000000.0,53.84,12.76,60.11,19.9,70.11,65.23
493,Tiago Gouveia,21,Primeira Liga,SL Benfica,Attack,2000000.0,69.09,70.03,57.89,73.51,55.75,74.9
494,Marco Friedl,24,Bundesliga,SV Werder Bremen,Defender,2000000.0,73.11,52.34,76.38,60.71,76.38,78.97
495,Quentin Merlin,20,Ligue 1,FC Nantes,Defender,2000000.0,58.93,44.64,55.06,53.47,46.44,80.74
496,Oscar Valentin,27,La Liga,Rayo Vallecano,midfield,2000000.0,77.19,74.44,60.13,78.34,66.09,89.88
497,Douglas Luiz,24,Premier League,Aston Villa,midfield,2000000.0,87.84,91.47,73.88,89.34,63.01,96.66
498,Ivan Balliu,30,La Liga,Rayo Vallecano,Defender,2000000.0,79.43,64.96,68.41,76.7,78.41,94.22
499,Eric Maxim Choupo-Moting,33,Bundesliga,Bayern Munich,Attack,2000000.0,51.46,60.44,48.24,50.38,24.31,46.78
500,Pedro Goncalves,24,Primeira Liga,Sporting CP,Attack,2000000.0,82.01,80.43,77.11,85.22,54.16,85.3
501,Yeray Alvarez,27,La Liga,Athletic Bilbao,Defender,2000000.0,78.03,54.08,75.92,57.14,85.92,93.13
502,Timothy Weah,22,Serie A,Juventus FC,Attack,2000000.0,65.24,63.65,55.22,69.1,49.42,73.01
503,Amine Harit,25,Ligue 1,Olympique Marseille,midfield,2000000.0,31.86,20.7,48.03,34.52,18.03,24.19
504,Christoph Baumgartner,22,Bundesliga,RB Leipzig,midfield,2000000.0,78.77,79.35,68.51,83.13,42.38,84.1
505,Tuta,23,Bundesliga,Eintracht Frankfurt,Defender,2000000.0,78.87,59.25,77.53,62.54,95.03,80.38
506,Mario Gotze,30,Bundesliga,Eintracht Frankfurt,midfield,2000000.0,76.34,76.61,68.12,78.94,44.83,81.7
507,Eray Comert,24,La Liga,Valencia CF,Defender,2000000.0,75.7,44.13,81.77,46.12,94.77,80.12
508,Samu Castillejo,27,La Liga,Valencia CF,Attack,2000000.0,62.89,60.91,61.18,65.16,33.41,64.3
509,Matteo Ruggeri,20,Serie A,Atalanta BC,Defender,2000000.0,65.42,25.32,66.62,32.4,79.62,83.04
510,Christian Norgaard,28,Premier League,Brentford FC,midfield,2000000.0,50.71,50.54,42.78,52.25,42.37,57.28
511,Pierre Kalulu,22,Serie A,AC Milan,Defender,2000000.0,80.34,63.3,77.38,69.57,87.38,87.01
512,Aitor Ruibal,26,La Liga,Real Betis Balompié,Defender,2000000.0,74.54,45.34,71.8,56.32,81.8,88.23
513,Florian Lejeune,31,La Liga,Deportivo Alavés,Defender,2000000.0,71.09,59.42,65.29,62.5,75.29,81.29
514,Petar Musa,24,Primeira Liga,SL Benfica,Attack,2000000.0,75.46,76.08,72.27,78.25,38.16,75.23
515,Anton Stach,23,Bundesliga,1.FSV Mainz 05,midfield,2000000.0,69.52,67.59,60.66,73.13,47.38,76.7
516,Brahim Diaz,22,La Liga,Real Madrid,midfield,2000000.0,83.45,82.13,78.23,89.9,41.88,83.55
517,Lassana Coulibaly,26,Serie A,US Salernitana 1919,midfield,2000000.0,80.44,86.79,62.42,81.56,59.09,90.98
518,Luka Romero,17,Serie A,AC Milan,Attack,2000000.0,18.52,22.24,22.46,16.58,8.06,12.79
519,Joey Veerman,23,Eredivisie,PSV Eindhoven,midfield,2000000.0,85.33,77.15,90.37,88.8,58.54,85.0
520,Raul Garcia,36,La Liga,Athletic Bilbao,Attack,2000000.0,80.75,79.45,68.95,86.23,43.99,88.38
521,Dwight McNeil,22,Premier League,Everton FC,Attack,2000000.0,86.98,87.85,75.71,91.66,59.22,92.68
522,Krepin Diatta,23,Ligue 1,AS Monaco,Attack,2000000.0,73.0,73.99,62.41,76.35,45.59,79.26
523,Toni Martinez,25,Primeira Liga,FC Porto,Attack,2000000.0,72.14,74.35,60.5,75.84,45.08,77.87
524,Youssouf Sabaly,29,La Liga,Real Betis Balompié,Defender,2000000.0,69.2,43.18,68.57,50.57,78.57,79.09
525,Ethan Pinnock,29,Premier League,Brentford FC,Defender,2000000.0,71.0,60.97,68.65,60.94,78.65,75.72
526,Samuel Moutoussamy,25,Ligue 1,FC Nantes,midfield,2000000.0,78.18,76.85,63.66,81.81,54.24,90.38
527,Riccardo Orsolini,25,Serie A,Bologna FC 1909,Attack,2000000.0,78.47,77.36,71.93,81.08,48.93,83.53
528,Aaron Martin,25,Serie A,Genoa CFC,Defender,2000000.0,71.94,61.0,62.61,61.32,72.61,91.21
529,Achraf Douiri,22,Eredivisie,FC Volendam,Attack,1900000.0,30.06,18.04,22.06,22.37,51.5,24.31
530,Manfred Ugalde,20,Eredivisie,Twente Enschede FC,Attack,1900000.0,59.04,63.59,53.04,60.15,30.49,59.4
531,Ismael Saibari,21,Eredivisie,PSV Eindhoven,midfield,1850000.0,47.58,36.56,61.49,50.48,33.02,41.82
532,Jose Marsa,20,Primeira Liga,Sporting CP,Defender,1800000.0,13.88,1.8,1.92,2.03,4.01,47.56
533,Koni De Winter,20,Serie A,Juventus FC,Defender,1800000.0,59.98,23.45,59.68,27.25,72.68,80.31
534,Aaron Meijers,34,Eredivisie,RKC Waalwijk,Defender,1750000.0,43.25,21.73,34.58,30.07,31.48,76.89
535,Arno Verschueren,25,Eredivisie,Sparta Rotterdam,midfield,1700000.0,74.32,78.23,63.61,75.63,51.35,79.82
536,Ardian Ismajli,25,Serie A,FC Empoli,Defender,1700000.0,69.44,43.37,67.1,49.62,77.1,83.93
537,Niklas Schmidt,24,Bundesliga,SV Werder Bremen,midfield,1700000.0,61.17,59.99,61.42,62.63,40.74,60.62
538,Thiago Silva,37,Premier League,Chelsea FC,Defender,1700000.0,72.41,46.97,68.4,54.33,78.4,88.51
539,Maximiliano Caufriez,25,Ligue 1,Clermont Foot 63,Defender,1600000.0,61.72,48.28,41.27,51.79,58.19,88.62
540,Andrea Colpani,23,Serie A,AC Monza,midfield,1600000.0,66.31,67.78,62.44,67.74,41.68,67.3
541,Marouan Azarkan,20,Eredivisie,FC Utrecht,Attack,1525000.0,67.02,65.09,63.61,70.58,46.36,68.8
542,Florian Sotoca,31,Ligue 1,RC Lens,Attack,1500000.0,90.04,88.79,80.11,94.49,52.92,96.78
543,Milos Veljkovic,26,Bundesliga,SV Werder Bremen,Defender,1500000.0,74.83,60.73,63.95,58.93,81.45,93.19
544,Alessio Zerbin,23,Serie A,SSC Napoli,Attack,1500000.0,22.36,20.7,18.83,22.33,21.92,24.5
545,Riccieli,23,Primeira Liga,FC Famalicão,Defender,1500000.0,61.42,52.34,47.32,59.98,56.31,77.07
546,Mads Pedersen,25,Bundesliga,FC Augsburg,Defender,1500000.0,76.74,48.72,68.78,60.01,86.28,91.87
547,Anthony Caci,25,Bundesliga,1.FSV Mainz 05,Defender,1500000.0,78.95,62.5,76.46,66.01,93.96,79.36
548,Evann Guessand,21,Ligue 1,OGC Nice,Attack,1500000.0,68.92,73.38,54.83,72.3,40.83,75.18
549,Gaius Makouta,25,Primeira Liga,Boavista FC,midfield,1500000.0,72.24,73.63,57.56,75.6,48.22,82.16
550,Hicham Boudaoui,22,Ligue 1,OGC Nice,midfield,1500000.0,67.89,61.74,56.2,65.67,73.44,70.71
551,Armando Obispo,23,Eredivisie,PSV Eindhoven,Defender,1500000.0,51.74,42.83,38.68,44.9,42.61,76.62
552,Matthis Abline,19,Ligue 1,Stade Rennais FC,Attack,1500000.0,43.64,43.7,36.83,47.58,22.94,46.45
553,Chiquinho,27,Primeira Liga,SL Benfica,midfield,1500000.0,60.48,58.46,57.38,62.38,56.42,63.7
554,Matias Soule,19,Serie A,Juventus FC,Attack,1500000.0,36.24,32.93,43.38,37.29,28.95,31.38
555,Oussama Idrissi,26,La Liga,Sevilla FC,Attack,1500000.0,72.23,65.46,77.43,76.68,41.7,69.36
556,Xavier Mbuyamba,20,Eredivisie,FC Volendam,Defender,1500000.0,67.74,59.73,47.49,56.94,61.82,92.48
557,Jeremy Le Douaron,24,Ligue 1,Stade Brestois 29,Attack,1500000.0,73.76,81.22,57.86,75.4,39.13,80.54
558,Antonino Gallo,22,Serie A,US Lecce,Defender,1500000.0,75.8,55.98,76.04,68.05,76.04,83.08
559,Dion Lopy,20,Ligue 1,Stade Reims,midfield,1500000.0,66.49,63.31,57.24,69.28,49.19,76.13
560,Florian Kainz,29,Bundesliga,1.FC Köln,Attack,1500000.0,79.49,74.81,77.59,83.58,42.47,81.96
561,Kamory Doumbia,19,Ligue 1,Stade Reims,midfield,1500000.0,61.91,59.23,58.53,64.52,38.61,65.35
562,Angel Algobia,23,La Liga,Getafe CF,midfield,1400000.0,57.86,56.41,45.44,59.6,49.44,66.0
563,Kevin Stoger,28,Bundesliga,VfL Bochum,midfield,1400000.0,79.07,73.35,78.14,82.11,54.07,82.66
564,Conor Coventry,22,Premier League,West Ham United,midfield,1300000.0,0.43,0.0,0.0,0.0,1.73,0.0
565,Hugo Novoa,19,Bundesliga,RB Leipzig,Attack,1300000.0,21.89,31.09,14.88,15.68,24.27,16.53
566,Grejohn Kyei,26,Ligue 1,Clermont Foot 63,Attack,1300000.0,84.33,88.7,65.87,89.19,45.69,93.56
567,Milutin Osmajic,23,La Liga,Cádiz CF,Attack,1300000.0,71.3,78.23,55.18,72.99,38.04,78.81
568,Filippo Terracciano,19,Serie A,Hellas Verona,midfield,1250000.0,47.9,43.04,38.55,47.38,50.74,50.45
569,Rodrigo Guth,21,Eredivisie,Fortuna Sittard,Defender,1250000.0,69.21,62.96,54.47,68.38,59.06,86.43
570,Robin Propper,28,Eredivisie,Twente Enschede FC,Defender,1200000.0,61.75,52.12,52.79,59.99,58.96,75.24
571,Thom Haye,27,Eredivisie,SC Heerenveen,midfield,1200000.0,76.75,70.97,66.94,75.67,78.97,81.4
572,Kingsley Ehizibue,27,Serie A,Udinese Calcio,Defender,1200000.0,34.31,1.1,38.13,2.97,51.13,45.0
573,Christopher Antwi-Adjei,28,Bundesliga,VfL Bochum,Attack,1200000.0,70.26,68.96,64.42,74.88,40.53,72.78
574,Melle Meulensteen,23,Eredivisie,Vitesse Arnhem,midfield,1200000.0,72.26,71.83,60.84,75.45,54.48,80.94
575,Rafa Mujica,23,Primeira Liga,FC Arouca,Attack,1200000.0,62.14,68.31,48.29,64.17,33.49,67.81
576,Dirk Proper,20,Eredivisie,NEC Nijmegen,midfield,1100000.0,72.75,72.66,59.86,76.05,58.24,82.44
577,Kevin Behrens,31,Bundesliga,1.FC Union Berlin,Attack,1100000.0,78.71,85.29,64.51,81.67,40.8,83.39
578,Costinha,29,Primeira Liga,Rio Ave FC,Defender,1100000.0,41.01,21.95,34.31,29.85,19.85,77.93
579,Hans Nicolussi Caviglia,22,Serie A,Juventus FC,midfield,1100000.0,32.71,35.31,25.47,28.28,36.14,31.1
580,Maxim Dekker,18,Eredivisie,AZ Alkmaar,Defender,1100000.0,41.71,42.07,22.65,25.92,17.48,76.22
581,Bruno Langa,24,Primeira Liga,GD Chaves,Defender,1050000.0,67.23,50.6,59.62,64.29,50.16,94.41
582,Kike Barja,25,La Liga,CA Osasuna,Attack,1000000.0,64.62,62.09,60.13,68.64,37.0,67.6
583,Axel Witsel,33,La Liga,Atlético de Madrid,midfield,1000000.0,71.12,72.14,53.64,74.64,53.31,84.07
584,Paul Wanner,16,Bundesliga,Bayern Munich,midfield,1000000.0,17.11,2.25,25.21,10.28,26.38,6.56
585,Lewis Cook,25,Premier League,AFC Bournemouth,midfield,1000000.0,63.31,60.93,53.92,66.02,47.28,72.36
586,Dario Essugo,17,Primeira Liga,Sporting CP,midfield,1000000.0,27.14,6.76,22.31,12.76,52.83,20.64
587,Chrislain Matsima,20,Ligue 1,AS Monaco,Defender,1000000.0,31.42,12.9,16.93,20.16,24.46,64.14
588,Benjamin Henrichs,25,Bundesliga,RB Leipzig,Defender,1000000.0,76.14,55.08,80.91,64.36,80.91,78.38
589,Timo Hubers,26,Bundesliga,1.FC Köln,Defender,1000000.0,75.09,59.15,64.48,57.82,81.98,94.76
590,Stefano Sensi,26,Serie A,Inter Milan,midfield,1000000.0,69.02,70.31,63.48,69.96,45.36,72.33
591,Joselu,32,La Liga,Real Madrid,Attack,1000000.0,77.55,84.52,60.5,80.1,42.22,85.08
592,Ben Johnson,22,Premier League,West Ham United,Defender,1000000.0,72.77,28.92,78.21,34.38,91.21,87.27
593,Orel Mangala,24,Premier League,Nottingham Forest,midfield,1000000.0,59.2,64.45,43.76,60.46,41.69,68.12
594,Jordan Lotomba,23,Ligue 1,OGC Nice,Defender,1000000.0,71.44,57.88,62.4,69.57,68.8,84.98
595,Andre Horta,25,Primeira Liga,SC Braga,midfield,1000000.0,78.35,72.04,77.98,82.09,51.67,81.3
596,Antonio Sanchez,25,La Liga,RCD Mallorca,midfield,1000000.0,70.03,70.1,55.84,73.38,42.83,80.8
597,Isaac Success,26,Serie A,Udinese Calcio,Attack,1000000.0,72.16,67.25,68.53,77.43,37.69,75.42
598,Unai Garcia,30,La Liga,CA Osasuna,Defender,1000000.0,72.48,36.18,80.06,41.34,93.06,75.45
599,Joseph Aidoo,26,La Liga,Celta de Vigo,Defender,1000000.0,76.24,70.14,65.18,69.54,75.18,90.09
600,Emirhan Ilkhan,18,Serie A,Torino FC,midfield,1000000.0,21.71,6.76,38.55,21.36,17.5,9.42
601,Quaresma,25,Primeira Liga,FC Arouca,Defender,1000000.0,70.61,59.33,58.91,67.54,71.84,83.74
602,Daniel Maldini,20,Serie A,FC Empoli,midfield,1000000.0,45.73,45.82,45.99,46.73,25.72,44.37
603,Oliver Torres,27,La Liga,Sevilla FC,midfield,1000000.0,75.88,77.61,66.75,77.56,46.67,81.58
604,Alessio Romagnoli,27,Serie A,SS Lazio,Defender,1000000.0,83.92,65.9,84.21,68.03,97.21,86.23
605,Toni Lato,24,La Liga,RCD Mallorca,Defender,1000000.0,72.59,46.11,71.59,53.89,84.59,80.27
606,Romano Schmid,22,Bundesliga,SV Werder Bremen,midfield,1000000.0,63.6,61.94,58.33,66.14,40.6,67.97
607,Kanya Fujimoto,23,Primeira Liga,Gil Vicente FC,midfield,1000000.0,78.07,74.56,70.02,81.91,50.65,85.79
608,Tosin Adarabioyo,24,Premier League,Fulham FC,Defender,1000000.0,66.96,46.03,62.03,50.24,72.03,83.56
609,Przemyslaw Frankowski,27,Ligue 1,RC Lens,midfield,1000000.0,88.0,85.64,79.73,91.38,69.15,95.27
610,Lilian Brassier,22,Ligue 1,Stade Brestois 29,Defender,1000000.0,73.46,63.22,58.71,72.83,65.77,92.04
611,Jean Onana,22,Ligue 1,RC Lens,midfield,1000000.0,46.32,45.29,38.46,48.04,36.25,53.49
612,Robert Gumny,24,Bundesliga,FC Augsburg,Defender,1000000.0,76.03,55.15,77.82,59.9,90.82,75.56
613,Matias Vecino,30,Serie A,SS Lazio,midfield,1000000.0,71.57,74.38,56.15,73.92,54.96,81.84
614,Jens Cajuste,22,Ligue 1,Stade Reims,midfield,1000000.0,74.03,73.87,64.44,76.25,57.31,81.56
615,Arne Maier,23,Bundesliga,FC Augsburg,midfield,1000000.0,69.64,75.65,55.88,70.34,45.08,76.7
616,Warmed Omari,22,Ligue 1,Stade Rennais FC,Defender,1000000.0,47.42,27.12,28.86,32.33,40.84,87.66
617,Fredrik Jensen,24,Bundesliga,FC Augsburg,midfield,1000000.0,47.69,52.5,41.29,47.46,30.31,49.53
618,Oday Dabbagh,23,Jupiler Pro League,RSC Charleroi,Attack,1000000.0,39.08,47.84,36.38,38.12,18.45,33.99
619,Mario Lemina,28,Premier League,Wolverhampton Wanderers,midfield,1000000.0,36.28,29.6,28.01,32.5,44.94,38.07
620,Rodrigo Ely,28,Ligue 1,UD Almería,Defender,1000000.0,72.35,63.17,57.24,72.47,61.05,92.71
621,Ryan Christie,27,Premier League,AFC Bournemouth,midfield,1000000.0,74.62,71.91,67.46,78.45,44.67,80.66
622,Albert Sambi Lokonga,22,Premier League,Arsenal FC,midfield,1000000.0,25.54,18.19,18.66,20.28,39.87,23.34
623,Pathe Ciss,28,La Liga,Rayo Vallecano,midfield,1000000.0,70.68,72.74,55.71,73.16,48.62,81.11
624,Massadio Haidara,29,Ligue 1,RC Lens,Defender,1000000.0,71.92,63.12,59.6,73.48,51.34,91.47
625,Rade Krunic,28,Serie A,AC Milan,midfield,1000000.0,53.27,49.72,47.71,55.53,39.18,60.12
626,Fabio Cardoso,28,Primeira Liga,FC Porto,Defender,1000000.0,46.8,36.68,28.88,34.02,24.84,87.61
627,Takuma Asano,27,Bundesliga,VfL Bochum,Attack,1000000.0,59.54,58.61,53.98,63.05,36.03,62.51
628,Stephane Diarra,23,Ligue 1,FC Lorient,Attack,1000000.0,66.48,66.58,57.67,70.92,41.0,70.76
629,Ole Romeny,22,Eredivisie,FC Utrecht,Attack,925000.0,76.67,85.67,59.57,77.94,52.67,83.48
630,Saviour Godwin,25,Primeira Liga,Casa Pia AC,Attack,900000.0,70.64,69.01,60.94,75.51,43.53,77.1
631,Pedro Alvaro,22,Primeira Liga,GD Estoril Praia,Defender,900000.0,61.53,56.21,48.32,60.08,53.05,76.78
632,Antoine Mendy,18,Ligue 1,OGC Nice,Defender,850000.0,43.26,18.24,35.58,27.14,37.14,73.15
633,Mathias Olesen,21,Bundesliga,1.FC Köln,midfield,850000.0,30.58,29.31,24.22,30.97,27.67,34.39
634,Bernardo Vital,21,Primeira Liga,GD Estoril Praia,Defender,800000.0,58.51,45.09,40.74,51.5,51.42,86.04
635,Pawel Bochniewicz,26,Eredivisie,SC Heerenveen,Defender,800000.0,70.14,62.2,53.16,66.44,67.52,84.41
636,Logan Costa,21,Ligue 1,FC Toulouse,Defender,800000.0,32.63,9.38,18.03,13.19,39.71,59.6
637,Jota Silva,22,Primeira Liga,Vitória Guimarães SC,Attack,750000.0,69.42,68.67,58.3,73.31,45.89,77.39
638,Kenzo Goudmijn,20,Eredivisie,AZ Alkmaar,midfield,700000.0,78.28,80.96,64.53,80.58,57.04,87.06
639,Issiaga Sylla,28,Ligue 1,Montpellier HSC,Defender,700000.0,50.72,29.56,42.09,35.26,42.71,82.81
640,Mikkel Desler,27,Ligue 1,FC Toulouse,Defender,700000.0,70.86,50.8,53.15,57.53,81.3,91.47
641,Rafael Ratao,26,Ligue 1,FC Toulouse,Attack,700000.0,71.08,74.62,60.54,72.54,52.31,76.64
642,Bruno Amione,20,Serie A,Hellas Verona,Defender,700000.0,79.68,48.52,82.47,51.99,95.47,88.77
643,Lilian Egloff,19,Bundesliga,VfB Stuttgart,midfield,700000.0,29.67,20.29,38.03,30.88,25.18,24.6
644,Nadir Zortea,23,Serie A,Atalanta BC,Defender,600000.0,55.36,25.21,58.12,24.88,71.12,66.99
645,Joao Mendes,27,Primeira Liga,Vitória Guimarães SC,midfield,600000.0,74.83,70.63,70.89,77.94,47.89,79.86
646,Matias Vina,24,Serie A,AS Roma,Defender,500000.0,67.6,29.79,76.01,26.88,89.01,75.61
647,Michel Aebischer,25,Serie A,Bologna FC 1909,midfield,500000.0,72.19,73.64,59.38,75.25,38.63,80.49
648,Aleksa Terzic,22,Serie A,ACF Fiorentina,Defender,500000.0,72.27,42.14,73.99,52.98,86.99,75.12
649,Martin Valjent,26,La Liga,RCD Mallorca,Defender,500000.0,70.28,52.38,67.4,59.4,77.4,76.9
650,Fede San Emeterio,25,La Liga,Cádiz CF,midfield,500000.0,71.79,72.18,53.39,74.37,54.88,85.74
651,Jonathan Gradit,29,Ligue 1,RC Lens,Defender,500000.0,71.69,65.88,59.71,68.83,66.39,85.66
652,Adam Marusic,29,Serie A,SS Lazio,Defender,500000.0,77.36,57.95,72.95,67.45,82.95,86.07
653,Patrik Walemark,20,Eredivisie,Feyenoord Rotterdam,Attack,500000.0,42.9,37.15,51.98,44.86,37.5,37.25
654,Alireza Jahanbakhsh,28,Eredivisie,Feyenoord Rotterdam,Attack,500000.0,74.09,66.95,80.37,78.6,37.19,70.43
655,Filippo Bandinelli,27,Serie A,FC Empoli,midfield,500000.0,80.08,81.18,66.36,82.25,50.95,90.51
656,Cristhian Stuani,35,La Liga,Girona FC,Attack,500000.0,71.91,79.0,53.98,73.39,40.77,81.29
657,Jordy Clasie,31,Eredivisie,AZ Alkmaar,midfield,500000.0,77.18,79.8,64.48,79.38,64.09,85.06
658,Giovanni Gonzalez,27,La Liga,RCD Mallorca,Defender,500000.0,64.72,25.25,65.28,31.52,78.28,83.8
659,Azor Matusiwa,24,Ligue 1,Stade Reims,midfield,500000.0,71.17,65.56,59.44,71.16,70.39,77.55
660,Anthony Jung,30,Bundesliga,SV Werder Bremen,Defender,500000.0,80.61,64.73,74.04,70.47,91.54,86.39
661,Norbert Gyomber,30,Serie A,US Salernitana 1919,Defender,500000.0,69.45,46.89,62.24,54.28,72.24,89.03
662,Yohann Magnin,25,Ligue 1,Clermont Foot 63,midfield,500000.0,87.56,83.45,66.5,87.76,80.03,99.0
663,Anas Tahiri,27,Eredivisie,SC Heerenveen,midfield,500000.0,73.43,74.21,62.19,76.05,57.56,81.25
664,Olivier Giroud,35,Serie A,AC Milan,Attack,500000.0,75.95,81.83,60.27,77.54,39.98,84.15
665,Rodrigo Conceicao,22,Primeira Liga,FC Porto,Defender,500000.0,49.44,27.05,38.24,35.34,39.61,84.57
666,Fabio Chiarodia,17,Bundesliga,Borussia Mönchengladbach,Defender,500000.0,36.62,3.61,39.66,4.06,52.66,50.12
667,Tim Ream,34,Premier League,Fulham FC,Defender,500000.0,84.28,71.14,84.83,66.4,97.83,83.31
668,Arnau Puigmal,21,Ligue 1,UD Almería,midfield,500000.0,53.33,50.92,51.19,54.71,44.78,56.49
669,Luca Caldirola,31,Serie A,AC Monza,Defender,500000.0,79.86,62.5,82.63,61.87,95.63,78.68
670,Inigo Eguaras,30,Ligue 1,UD Almería,midfield,400000.0,58.86,60.97,51.2,59.84,32.79,63.45
671,Felix Lemarechal,18,Ligue 1,AS Monaco,midfield,400000.0,34.27,27.05,42.48,35.79,16.13,31.74
672,Yanis Begraoui,21,Ligue 1,FC Toulouse,Attack,400000.0,12.27,4.51,20.61,10.69,11.96,5.8
673,Serdar Saatci,19,Primeira Liga,SC Braga,Defender,400000.0,18.83,3.61,6.13,4.9,10.97,53.34
674,Tiago Esgaio,26,Primeira Liga,FC Arouca,Defender,400000.0,65.7,45.17,45.59,53.34,75.59,88.28
